id;cpf;data_nascimento;cep_id;end_numero
1;94865017636;1973-07-20;27257515;789
2;45278841259;1974-01-29;30431086;654
3;70736980933;1934-12-05;72261055;511
4;09491833223;1997-06-29;30644159;521
5;87834374902;1977-06-05;76964496;973
6;08520805592;1968-02-24;54345130;270
7;75284264746;1964-10-14;24461405;413
8;26939372077;1972-09-25;32285080;1176
9;51292315916;1975-05-25;27262250;536
10;00400687982;2001-07-16;63503635;280
11;73031029928;2013-04-28;75710868;742
12;89684809111;1999-09-21;74823350;336
13;56396286352;1931-06-08;72225316;501
14;49513437620;2020-09-26;66113886;1183
15;24720206514;2011-08-05;64056290;324
16;17395208668;2005-05-27;49030050;853
17;39879556266;1929-08-17;67133590;1051
18;68536028240;1985-08-22;72240818;439
19;41837205149;2008-04-17;36092400;408
20;08502702677;2011-08-30;28630220;806
21;29143870939;2000-11-17;86045700;220
22;96440121944;1997-11-19;85801140;560
23;79920049627;2005-01-24;65300489;1079
24;43270358363;2006-04-13;63133510;329
25;30827060214;1968-05-20;84605322;385
26;71055045665;1976-05-26;66030540;804
27;82260978011;2008-01-22;77815020;370
28;39000710616;1988-06-13;76960043;777
29;74363529790;1997-09-29;26277050;757
30;51010834560;1995-08-01;60410804;903
31;78641189560;2006-04-28;67020480;594
32;58014810764;1994-08-13;25902360;253
33;54747853813;2007-08-18;89015903;692
34;95053491856;1937-11-03;45992423;275
35;67460951791;1994-12-22;41640450;279
36;30289198202;1994-02-06;41385765;444
37;07239673198;2014-12-17;30310702;327
38;48364353298;2004-11-12;52021070;902
39;74125756700;2004-01-31;32056350;452
40;96520301189;1936-05-01;58027612;539
41;57170425049;1996-08-26;26582660;358
42;70305128025;2021-06-05;58808445;810
43;12886430010;2008-12-28;26435255;760
44;05959641196;1991-11-11;49001338;468
45;33847267555;1978-04-03;84022492;497
46;16545009030;1963-12-03;87060525;612
47;52182391526;1932-10-29;96222224;871
48;59426379489;1932-05-20;32240371;438
49;14546558150;2003-04-21;70374510;261
50;12028504164;2000-10-03;72885278;411
51;12719347037;1993-01-31;88107130;887
52;54606051629;1967-11-17;25571251;980
53;97369715206;1994-10-06;27264520;947
54;66453693969;2015-03-18;87060470;391
55;17470335374;2007-09-14;66033140;476
56;45480648410;1934-10-09;31250230;244
57;16397785711;1993-03-04;81110190;1088
58;62970657760;1998-06-21;24344030;793
59;64891163575;1967-08-31;71505280;669
60;29277260801;2002-01-20;23898395;414
61;94538989443;1993-12-24;72260622;799
62;46027378684;1985-07-05;55196305;740
63;74342157589;1927-08-25;94075202;1170
64;86402141151;1990-08-11;99711370;988
65;65597775285;1925-11-03;24808324;558
66;05002096353;1928-04-27;59152010;423
67;22144030411;1996-09-06;29208097;933
68;29422385299;2007-11-16;55043180;217
69;38627303615;2005-05-20;49063151;454
70;75470657030;2005-09-11;89812585;574
71;88609761894;1995-03-10;76963671;934
72;57871374011;2004-08-01;26021150;831
73;17602709788;2006-05-20;24474365;406
74;84993045085;2010-09-27;21843155;241
75;75139549714;2014-10-19;32073102;704
76;53943055163;2018-03-01;26483055;347
77;17055943064;1992-01-31;26053027;559
78;68718891486;2000-09-15;60130520;705
79;96014984176;1979-09-12;22640350;486
80;27767261368;1977-07-21;32315070;472
81;32342646176;1970-02-05;72241308;359
82;68599177979;1991-11-14;84607151;839
83;57986443677;1992-12-10;91550671;834
84;33738540949;1966-05-09;58030226;387
85;07165297774;2013-05-16;96505220;754
86;09455231211;1970-10-14;82115250;1163
87;83465577073;1968-05-22;51240530;392
88;17169632207;2008-08-18;35044060;978
89;65954079399;1992-01-09;26171120;1100
90;63137548990;2000-03-14;84603260;435
91;87456776457;2000-01-29;74440970;616
92;75780303209;1965-04-30;72504559;648
93;43585043779;2000-10-31;27964041;733
94;97088829960;1996-09-02;26510970;1118
95;89570776935;2001-03-26;65037003;920
96;59987525259;2004-07-15;23812290;993
97;50534435573;2008-03-13;26110246;580
98;06538502348;1970-02-19;26550010;793
99;18046025927;2017-01-26;67030235;408
100;78749222102;1995-04-30;95032730;860
101;88948761096;1976-04-29;58700580;993
102;13307999012;1962-04-22;24800097;562
103;97776279822;1940-07-06;66620010;327
104;71462590858;1983-04-27;79103020;930
105;06832600928;2001-04-19;33045720;518
106;17940826846;2005-05-25;75261480;1073
107;87701670611;1988-07-21;61627050;884
108;64552276756;1990-09-27;63700977;332
109;57454549228;1992-09-24;59160705;333
110;57356271224;1992-10-12;88505258;1135
111;15179640074;1972-11-22;49000704;361
112;82360320108;1966-02-09;89812224;962
113;95960418292;2021-10-24;24461560;1160
114;84189445246;2008-05-27;53560201;1029
115;43589716048;2018-03-17;74486145;682
116;84076463566;1985-11-07;83709828;1106
117;41828114393;1982-08-16;34700190;573
118;31480632971;2007-06-20;35055276;326
119;73143618868;2002-07-25;66117398;291
120;51336527084;1994-04-19;86079490;710
121;46899955281;2002-02-01;74767012;1082
122;21267831662;1984-06-28;26215300;509
123;58969765128;2009-08-09;76829294;1005
124;41130091149;1977-10-14;25750530;390
125;42024650597;1939-10-03;79045243;1197
126;81346092083;1990-01-14;45992144;1004
127;57893030866;2008-12-03;75095460;1021
128;72565279599;1980-08-16;35042270;288
129;59592753678;2015-07-18;86073345;203
130;81435378808;2008-03-16;53421211;811
131;95171880943;2010-06-28;59156232;1051
132;46612063131;2009-09-23;30750430;961
133;92188509049;2006-09-05;50740097;891
134;26263614545;1972-10-02;40720004;295
135;92006869609;1999-10-09;24342680;357
136;31782930958;1995-03-16;28027510;1188
137;99418215763;1994-11-26;79046130;537
138;12040918242;1982-08-25;54525580;453
139;43810234044;2006-02-18;53080340;772
140;95788528374;1977-02-12;40150510;489
141;76586674827;1938-12-08;71575310;1076
142;04958249293;2005-03-23;71255645;970
143;88668911431;1933-03-25;66645180;584
144;76520792548;1967-03-05;79017130;745
145;12950621882;1969-04-29;20771215;1000
146;56207068262;1971-06-23;96065036;989
147;60269918563;1975-11-07;68507442;438
148;14672237552;1924-06-22;42805350;814
149;06912941318;2014-04-05;25963375;488
150;77377698741;1997-09-28;63506050;1141
151;01476466118;2006-05-21;26285170;881
152;38124972134;1986-06-11;26550810;1177
153;16552895392;2016-02-24;35182327;356
154;11349948682;1974-01-14;69060701;269
155;22145277563;1970-06-04;70747040;202
156;73354665023;1980-06-09;27347280;254
157;45831062582;1995-05-09;44090001;819
158;20890577809;1965-02-17;40353500;832
159;20285314611;2005-08-28;75516240;429
160;41474094967;1985-08-07;40280970;592
161;04551659414;1981-09-07;74884659;929
162;12711007176;1998-09-22;83203380;289
163;53030791637;1983-10-08;36774134;404
164;55907802530;2019-02-18;60341020;285
165;79718115079;2009-05-06;98780720;772
166;46825646266;1982-08-07;75536030;604
167;92654046577;1976-09-18;60351670;1043
168;75856771758;2007-01-10;41298685;881
169;66656922355;1962-09-26;87020440;837
170;73942823881;1971-06-14;38425362;570
171;47541312132;1973-11-09;86070330;1011
172;06431631884;2004-04-21;54518285;723
173;45530626085;1927-04-15;26185480;1176
174;04400700061;1965-12-08;30380790;767
175;56861526439;1978-01-25;52081512;848
176;01385836541;1987-09-09;89057155;795
177;18997797983;1991-12-30;84045050;1033
178;36263680136;2012-12-10;47814552;378
179;66350029715;1994-09-10;78705291;408
180;79395889404;1996-04-16;45037620;398
181;60835441445;1928-10-08;21072020;294
182;65134167985;2000-08-28;75084300;583
183;73372198834;1924-01-22;65304242;1096
184;46172701790;1930-03-29;74075330;637
185;27628350688;1966-02-28;72881110;610
186;17786968257;1978-07-09;26163530;1019
187;21700832316;1975-08-18;69103272;251
188;98822967645;2000-04-11;98805732;357
189;77693903155;2003-03-15;29070010;1018
190;18347236894;2004-12-22;64067290;483
191;16291640708;1973-10-20;41612425;1199
192;00101727276;2003-03-22;71884454;701
193;01699885659;2004-06-05;26061025;1066
194;66240560780;1980-05-05;25926864;354
195;50362997284;1998-07-08;81030220;939
196;56051714267;1931-01-11;59088070;204
197;49410526922;2009-11-05;44096000;315
198;16657348384;1965-06-04;40713430;875
199;62697371824;2005-12-04;30530660;236
200;49030634177;1995-06-28;25900112;456
201;57329737959;2009-05-30;32656516;826
202;38281462145;1934-08-09;32600066;538
203;21893469751;2005-12-16;29060660;717
204;50423501319;2009-01-01;29182028;504
205;16245749665;2005-08-13;50680321;996
206;59004449207;2008-12-21;40391368;313
207;52454736739;2006-03-14;52120220;548
208;22674066697;1992-02-12;74354837;979
209;16590105296;1972-11-28;77006406;715
210;20480576426;2015-03-01;27258483;969
211;34667080217;2007-03-23;97547578;460
212;65976435451;2017-12-19;66020460;238
213;74472233822;1997-11-08;82710250;221
214;90670597327;1936-06-21;40335420;541
215;96029548624;2008-06-09;30668325;901
216;89234741269;1972-09-01;96081205;718
217;21683985139;2008-01-21;69060800;745
218;52498476514;1968-01-26;22793430;602
219;86468685609;1937-05-16;36045280;1153
220;40552750277;2014-02-23;88505226;793
221;37452451607;2007-02-23;29932580;584
222;30854921327;2006-06-15;79311718;1044
223;57640306897;1974-05-25;72545407;295
224;86487948147;1993-05-18;25903028;950
225;31621806728;2014-10-08;58027637;676
226;85661304029;2019-03-06;41200690;690
227;31793044706;2009-03-27;72812095;864
228;65617499793;2001-03-13;76901390;872
229;34128717542;2010-08-11;58301575;879
230;89467953069;2004-11-20;49075123;815
231;40216073777;1963-01-28;41385880;343
232;35444262257;2018-08-14;55038571;792
233;74670121718;2008-01-15;26082365;718
234;73661274964;2004-03-05;49044277;1020
235;10141679465;2010-02-15;72755319;926
236;77018223059;2007-10-19;24737796;1096
237;01586743498;1992-06-02;91330480;679
238;80819459650;1972-01-01;54353280;261
239;04707754352;2014-07-21;83411270;884
240;13263166934;1999-11-28;78132836;980
241;14878342378;1964-03-07;32606118;1156
242;22861354823;2003-12-05;62880084;955
243;53235828161;2002-03-08;76870103;876
